IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Dec 30, 2019",MKD,Molecular Data Inc.,5.38,0.134,-0.975,Basic Materials,Chemicals,United States
"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,11,19.47,0.770,Energy,"Oil, Gas & Consumable Fuels",United States
"Dec 19, 2019",MNPR,"Monopar Therapeutics, Inc.",8,2.39,-0.701,Health Care,Biotechnology,United States
"Dec 13, 2019",HCCO,Healthcare Merger Corp,10,8.97,0.090,Blank Check / SPAC,Blank Check / SPAC,
"Dec 13, 2019",SPT,"Sprout Social, Inc.",17,62.97,2.704,Information Technology,Software,United States
"Dec 13, 2019",OCFT,OneConnect Financial Technology Co. Ltd.,10,1.355,-0.865,Information Technology,Software,United States
"Dec 13, 2019",CIIC,CIIG Merger,10,21.6,0.216,Blank Check / SPAC,Blank Check / SPAC,
"Dec 12, 2019",EH,EHang Holdings Limited,12.5,9.73,-0.222,Industrials,Aerospace & Defense,United States
"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",22,175.11,6.960,Information Technology,Software,United States
"Dec 11, 2019",XP,XP Inc.,27,25.515,-0.055,Financials,Capital Markets,Brazil
"Dec 11, 2019",LIVK,LIV Capital Acquisition Corp.,10,10.3,0.103,Blank Check / SPAC,Blank Check / SPAC,
"Dec 5, 2019",LMPX,"LMP Automotive Holdings, Inc.",5,3.85,-0.230,Consumer Discretionary,Specialty Retail,United States
"Nov 26, 2019",ALUS,Alussa Energy Acquisition Corp.,10,9.5,0.095,Blank Check / SPAC,Blank Check / SPAC,
"Nov 22, 2019",PTAC,PropTech Acquisition Corp.,10,14.81,0.148,Blank Check / SPAC,Blank Check / SPAC,
"Nov 22, 2019",PINE,"Alpine Income Property Trust, Inc.",19,19.35,0.018,Real Estate,Equity Real Estate Investment Trusts (REITs),United States
"Nov 22, 2019",CHPM,CHP Merger Corp.,10,10.19,0.019,Financial Services,Shell Companies,United States
"Nov 21, 2019",SITM,SiTime Corporation,13,168.07,11.928,Information Technology,Semiconductors & Semiconductor Equipment,United States
"Nov 21, 2019",GRNV,Greenvision Acquisition Corp.,10,8.14,0.081,Blank Check / SPAC,Blank Check / SPAC,
"Nov 21, 2019",CAN,Canaan Inc.,9,3.93,-0.563,Information Technology,"Technology Hardware, Storage & Peripherals",United States
"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,10,15.12,0.151,Blank Check / SPAC,Blank Check / SPAC,
"Nov 20, 2019",SAQN,Software Acquisition Group,10,10.1,0.101,Blank Check / SPAC,Blank Check / SPAC,
"Nov 13, 2019",YAYO,"EVmo, Inc.",4,0.41,-0.898,Industrials,Road & Rail,United States
"Nov 11, 2019",ETNB,"89bio, Inc.",16,2.67,-0.833,Health Care,Biotechnology,United States
"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",10,13.19,0.132,,,
"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,10,10.97,0.110,Blank Check / SPAC,Blank Check / SPAC,
"Nov 8, 2019",MOHO,ECMOHO Limited,10,0.218,-0.978,Consumer Discretionary,Internet & Direct Marketing Retail,China
"Nov 8, 2019",CNSP,"CNS Pharmaceuticals, Inc.",4,0.321,-0.920,Health Care,Pharmaceuticals,United States
"Nov 8, 2019",KRKR,36Kr Holdings Inc.,14.5,0.82,-0.943,Communication Services,Interactive Media & Services,United States
"Nov 8, 2019",TELA,"TELA Bio, Inc.",13,9.63,-0.259,Health Care,Health Care Equipment & Supplies,United States
"Nov 7, 2019",GRTX,"Galera Therapeutics, Inc.",12,1.94,-0.838,Health Care,Biotechnology,United States
"Nov 7, 2019",CNTG,Centogene N.V.,14,3.77,-0.731,Health Care,Biotechnology,Germany
"Nov 7, 2019",SI,Silvergate Capital Corporation,12,130.15,9.846,Financials,Banks,United States
"Nov 7, 2019",DFNS,LGL Systems Acquisition,10,13.84,0.138,Blank Check / SPAC,Blank Check / SPAC,
"Nov 5, 2019",QK,Q&K International Group Ltd.,17,1.049,-0.938,Real Estate,Real Estate Management & Development,United States
"Nov 5, 2019",MCMJ,Merida Merger Corp. I,10,6.53,-0.347,Financial Services,Shell Companies,United States
"Nov 1, 2019",DUO,Fangdd Network Group Ltd.,13,0.284,-0.978,Communication Services,Interactive Media & Services,United States
"Nov 1, 2019",SFTW,Osprey Technology Acquisition Corp.,10,11.41,0.114,Blank Check / SPAC,Blank Check / SPAC,
"Nov 1, 2019",FSRV,Finserv Acquisition Corp,10,14.52,0.145,Blank Check / SPAC,Blank Check / SPAC,
"Oct 31, 2019",RAPT,"Rapt Therapeutics, Inc.",12,18.67,0.556,Health Care,Biotechnology,United States
"Oct 31, 2019",OYST,"Oyster Point Pharma, Inc.",16,7.06,-0.559,Health Care,Biotechnology,United States
"Oct 25, 2019",AIH,Aesthetic Medical International Holdings Group Ltd.,12,1.497,-0.875,Health Care,Health Care Providers & Services,Cayman Islands
"Oct 25, 2019",CABA,"Cabaletta Bio, Inc.",11,1.37,-0.875,Health Care,Biotechnology,United States
"Oct 25, 2019",PGNY,"Progyny, Inc.",13,40.81,2.139,Health Care,Health Care Providers & Services,United States
"Oct 25, 2019",DAO,"Youdao, Inc.",17,6.23,-0.634,Consumer Discretionary,Diversified Consumer Services,United States
"Oct 25, 2019",HAPP,Happiness Biotech Group Ltd.,5.5,0.286,-0.948,Consumer Staples,Personal Products,China
"Oct 25, 2019",TFFP,"TFF Pharmaceuticals, Inc.",5,5.49,0.098,Health Care,Pharmaceuticals,United States
"Oct 25, 2019",PHAT,"Phathom Pharmaceuticals, Inc.",19,13.6,-0.284,Health Care,Pharmaceuticals,United States
"Oct 24, 2019",BRP,"BRP Group, Inc.",14,23.325,0.666,Financials,Insurance,United States
"Oct 18, 2019",LATN,Union Acquisition Corp. II,10,9.86,0.099,Blank Check / SPAC,Blank Check / SPAC,
"Oct 18, 2019",GLEO,Galileo Acquisition Corp.,10,8.54,0.085,Blank Check / SPAC,Blank Check / SPAC,
"Oct 17, 2019",BRBR,"Bellring Brands, Inc.",14,23.22,0.659,Consumer Staples,Personal Products,United States
"Oct 17, 2019",IPHA,Innate Pharma S.A.,5.5,3.01,-0.453,Health Care,Biotechnology,France
"Oct 11, 2019",HBT,"HBT Financial, Inc.",16,18.195,0.137,Financials,Banks,United States
"Oct 11, 2019",VIR,"Vir Biotechnology, Inc.",20,21.59,0.080,Health Care,Biotechnology,United States
"Oct 10, 2019",BNTX,BioNTech SE,15,146.61,8.774,Health Care,Biotechnology,Germany
"Oct 3, 2019",VIE,Viela Bio,19,53.01,0.530,,,
"Oct 3, 2019",FREQ,"Frequency Therapeutics, Inc.",14,1.5,-0.893,Health Care,Biotechnology,United States
"Oct 3, 2019",MCBS,"MetroCity Bankshares, Inc.",13.5,22.14,0.640,Financials,Banks,United States
"Oct 3, 2019",APRE,"Aprea Therapeutics, Inc.",15,1.52,-0.899,Health Care,Biotechnology,United States
"Sep 26, 2019",OPRT,Oportun Financial Corporation,15,12.18,-0.188,Financials,Consumer Finance,United States
"Sep 26, 2019",PTON,"Peloton Interactive, Inc.",29,20.38,-0.297,Consumer Discretionary,Leisure Products,United States
"Sep 19, 2019",DDOG,"Datadog, Inc.",27,119.98,3.444,Information Technology,Software,United States
"Sep 19, 2019",PING,Ping Identity Holding Corp.,15,27.65,0.843,Information Technology,Software,United States
"Sep 19, 2019",XGN,Exagen Inc.,14,6.31,-0.549,Health Care,Health Care Providers & Services,United States
"Sep 18, 2019",NVST,Envista Holdings Corporation,22,43.39,0.972,Health Care,Health Care Equipment & Supplies,United States
"Sep 18, 2019",IGMS,"IGM Biosciences, Inc.",16,18.18,0.136,Health Care,Biotechnology,United States
"Sep 17, 2019",APXT,Apex Technology Acquisition Corp.,10,12.11,0.121,Blank Check / SPAC,Blank Check / SPAC,
"Sep 13, 2019",STSA,"Satsuma Pharmaceuticals, Inc.",15,3.95,-0.737,Health Care,Pharmaceuticals,United States
"Sep 13, 2019",NET,"Cloudflare, Inc.",15,96.54,5.436,Information Technology,Software,United States
"Sep 13, 2019",EXPC,Experience Investment Corp.,10,8.7,0.087,,,
"Sep 13, 2019",SWTX,"Springworks Therapeutics, Inc.",18,47.97,1.665,Health Care,Biotechnology,United States
"Sep 13, 2019",ALRS,Alerus Financial Corporation,21,26.27,0.251,Financials,Diversified Financial Services,United States
"Sep 12, 2019",TXG,"10X Genomics, Inc.",39,54.59,0.400,Health Care,Life Sciences Tools & Services,United States
"Sep 12, 2019",SDC,"SmileDirectClub, Inc.",23,2.03,-0.912,Health Care,Health Care Equipment & Supplies,United States
"Sep 11, 2019",SONG,Akazoo S.A.,,,,,,
"Sep 9, 2019",NPA,New Providence Acquisition Corp.,10,11.6,0.116,Blank Check / SPAC,Blank Check / SPAC,
"Aug 15, 2019",CFB,"CrossFirst Bankshares, Inc.",14.5,13.67,-0.057,Financials,Banks,United States
"Aug 15, 2019",JFU,9F Inc.,9.5,0.82,-0.914,Communication Services,Interactive Media & Services,China
"Aug 14, 2019",BTOG,"China Xiangtai Food Co., Ltd.",5,1.009,-0.798,Consumer Defensive,Packaged Foods,China
"Aug 9, 2019",THBR,Thunder Bridge Acquisition II Ltd.,10,10.87,0.109,Blank Check / SPAC,Blank Check / SPAC,
"Aug 8, 2019",INMD,InMode Ltd.,14,27.63,0.974,Health Care,Health Care Equipment & Supplies,United States
"Aug 8, 2019",SSPK,Silver Spike Acquisition Corp.,10,18.84,0.188,Blank Check / SPAC,Blank Check / SPAC,
"Aug 5, 2019",AMTD,"AMTD International, Inc.",8.38,2.32,-0.723,Financial Services,Capital Markets,Hong Kong
"Aug 2, 2019",ORSN,Orisun Acquisition,10,8.17,0.082,Blank Check / SPAC,Blank Check / SPAC,
"Aug 1, 2019",DT,"Dynatrace, Inc.",16,40.51,1.532,Information Technology,Software,United States
"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",14,54.13,2.866,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States
"Aug 1, 2019",SNDL,Sundial Growers Inc.,13,0.524,-0.960,Health Care,Pharmaceuticals,Canada
"Jul 31, 2019",BORR,Borr Drilling Limited,9.3,3.92,-0.579,Energy,Oil & Gas Drilling,Bermuda
"Jul 31, 2019",NFIN,Netfin Acquisition,10,11.4,0.114,Blank Check / SPAC,Blank Check / SPAC,
"Jul 26, 2019",WSG,Wanda Sports Group Co. Ltd.,8,2.495,0.025,,,
"Jul 26, 2019",VIST,Vista Oil & Gas SAB de CV,9,8.705,-0.033,Energy,"Oil, Gas & Consumable Fuels",Mexico
"Jul 26, 2019",SBE,Switchback Energy Acquisition Corporation,10,30.83,0.308,Blank Check / SPAC,Blank Check / SPAC,
"Jul 26, 2019",BHAT,Blue Hat Interactive Entertainment Technology,4,0.45,-0.887,Communication Services,Entertainment,China
"Jul 26, 2019",CCX,Churchill Capital Corp II,10,10.75,0.107,,,
"Jul 25, 2019",CSTL,"Castle Biosciences, Inc.",16,22.87,0.429,Health Care,Biotechnology,United States
"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",26,20.21,-0.223,Health Care,Health Care Technology,United States
"Jul 25, 2019",LVGO,Livongo Health,28,139.77,1.398,,,
"Jul 25, 2019",NOVA,"Sunnova Energy International, Inc.",12,16.05,0.338,Utilities,Independent Power and Renewable Electricity Producers,United States
"Jul 25, 2019",FLLC,"Fellazo, Inc.",10,10,0.100,,,
"Jul 25, 2019",PROS,"ProSight Global, Inc.",14,12.85,0.129,,,
