IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country
"Oct 28, 2020",ACIC,Atlas Crest Investment Corp.,10,9.48,0.095,Blank Check / SPAC,Blank Check / SPAC,
"Oct 28, 2020",AJAX,Ajax I,10,8.72,0.087,Blank Check / SPAC,Blank Check / SPAC,
"Oct 27, 2020",LUXA,Lux Health Tech Acquisition Corp.,10,9.88,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 27, 2020",MACU,Mallard Acquisition Corp.,10,10.12,0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 23, 2020",FHTX,"Foghorn Therapeutics, Inc.",16,12.62,-0.211,Health Care,Biotechnology,United States
"Oct 23, 2020",ATAC,Altimar Acquisition Corp.,10,10.01,0.100,Blank Check / SPAC,Blank Check / SPAC,
"Oct 23, 2020",EUCR,Eucrates Biomedical Acquisition Corp.,10,9.9,-0.010,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 23, 2020",ACAC.D,Acies Acquisition Corp.,10,8.39,0.084,Blank Check / SPAC,Blank Check / SPAC,
"Oct 22, 2020",GHLD,Guild Holdings Company,15,9.37,-0.375,Financial Services,Mortgage Finance,United States
"Oct 22, 2020",TEKK,Tekkorp Digital Acquisition Corp.,10,9.88,-0.012,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 22, 2020",MCFE,McAfee Corp.,20,25.99,0.299,Information Technology,Software,United States
"Oct 22, 2020",ABCM,Abcam PLC,17.5,17.04,-0.026,Health Care,Biotechnology,United Kingdom
"Oct 22, 2020",YSAC,Yellowstone Acquisition Company,10,8.67,-0.133,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 22, 2020",RICE,Rice Acquisition Corp.,10,18.27,0.183,Blank Check / SPAC,Blank Check / SPAC,
"Oct 22, 2020",CTAC,Cerberus Telecom Acquisition Corp.,10,7.81,0.078,Blank Check / SPAC,Blank Check / SPAC,
"Oct 22, 2020",BLSA,BCLS Acquisition Corp.,10,9.89,-0.011,Blank Check / SPAC,Blank Check / SPAC,United States
"Oct 21, 2020",MSP,Datto Holding Corp.,27,34.685,0.285,Information Technology,Software,United States
"Oct 21, 2020",YGMZ,MingZhu Logistics Holdings Limited,4,1.81,-0.547,Industrials,Trucking,United States
