,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
0,1,25,BAL,Marquise Brown\BrowMa04,WR,22,2021.0,0,0,2,24.0,24.0,46.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,0.0,195.0,2361.0,21.0,,,,Oklahoma,College Stats,1,720.0,Buffalo Bills,2022.0,0.24,5.76,6.348,17.652,2.780718336483932,"Sep 18, 2019",NVST,Envista Holdings Corporation,22.0,43.39,0.972,Health Care,Health Care Equipment & Supplies,United States,1,0.3055555555555556,7.333333333333334,8.081944444444446,15.918055555555554,1.9695824024746516
1,1,9,BUF,Ed Oliver\OlivEd00,DT,21,2021.0,0,0,2,23.0,23.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,,12.0,Houston,College Stats,1,1350.0,Denver Broncos,2022.0,0.45,10.35,11.9025,11.0975,0.9323671497584541,"Jul 25, 2019",LVGO,Livongo Health,28.0,139.77,1.3980000000000001,,,,1,0.3888888888888889,8.944444444444445,10.286111111111111,12.713888888888889,1.236024844720497
2,1,26,WAS,Montez Sweat\SweaMo00,DE,23,2021.0,0,0,2,19.0,19.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1.0,21.0,Mississippi St.,College Stats,1,700.0,Tennessee Titans,2022.0,0.23333333333333334,4.433333333333334,6.171666666666667,12.828333333333333,2.078584931136916,"Sep 13, 2019",ALRS,Alerus Financial Corporation,21.0,26.27,0.251,Financials,Diversified Financial Services,United States,1,0.2916666666666667,5.541666666666667,7.714583333333334,11.285416666666666,1.4628679449095328
3,1,15,WAS,Dwayne Haskins\HaskDw00,QB,22,2020.0,0,0,0,4.0,4.0,16.0,267.0,444.0,2804.0,12.0,14.0,40.0,147.0,1.0,0.0,0.0,0.0,,,,Ohio St.,College Stats,1,1050.0,Philadelphia Eagles,2022.0,0.35,1.4,9.257499999999999,-5.2574999999999985,-0.5679179044018363,"Jun 20, 2019",WORK,"Slack Technologies, Inc.",26.0,45.2,0.452,,,,1,0.3611111111111111,1.4444444444444444,9.551388888888889,-5.551388888888889,-0.581212738112549
4,1,16,CAR,Brian Burns\BurnBr00,DE,21,2021.0,0,1,2,19.0,19.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,25.5,Florida St.,College Stats,1,1000.0,Philadelphia Eagles,2022.0,0.3333333333333333,6.333333333333333,8.816666666666666,10.183333333333334,1.1550094517958414,"Mar 28, 2019",WTRE,Watford Holdings Ltd.,25.26,34.99,0.35,,,,1,0.35083333333333333,6.6658333333333335,9.279541666666667,9.720458333333333,1.0475149185708705
5,1,23,HOU,Tytus Howard\HowaTy00,T,23,2021.0,0,0,3,17.0,17.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Alabama St.,,1,760.0,Arizona Cardinals,2022.0,0.25333333333333335,4.306666666666667,6.700666666666667,10.299333333333333,1.5370609889563227,"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",22.0,175.11,6.96,Information Technology,Software,United States,1,0.3055555555555556,5.194444444444445,8.081944444444446,8.918055555555554,1.1034542017528781
6,2,51,TEN,A.J. Brown\BrowAJ00,WR,22,2021.0,0,1,3,30.0,30.0,43.0,0.0,2.0,0.0,0.0,0.0,5.0,70.0,1.0,185.0,2995.0,24.0,2.0,,,Mississippi,College Stats,2,390.0,Philadelphia Eagles,2022.0,0.13,3.9000000000000004,3.4385,26.5615,7.724734622655228,"Jun 20, 2019",PSNL,"Personalis, Inc.",17.0,5.98,-0.648,Health Care,Life Sciences Tools & Services,United States,2,0.2361111111111111,7.083333333333333,6.245138888888889,23.75486111111111,3.8037362392972316
7,2,64,SEA,D.K. Metcalf\MetcDK00,WR,21,2021.0,0,1,3,29.0,29.0,49.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,216.0,3170.0,29.0,1.0,,,Mississippi,College Stats,2,270.0,Denver Broncos,2022.0,0.09,2.61,2.3805,26.6195,11.182314639781557,"Jun 28, 2019",KRTX,"Karuna Therapeutics, Inc.",16.0,123.75,6.734,Health Care,Biotechnology,United States,2,0.2222222222222222,6.444444444444444,5.877777777777777,23.122222222222224,3.9338374291115317
8,2,44,GNB,Elgton Jenkins\JenkEl00,C,23,2021.0,0,1,2,22.0,22.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Mississippi St.,College Stats,2,460.0,Cleveland Browns,2022.0,0.15333333333333332,3.373333333333333,4.055666666666666,17.944333333333333,4.4245089175639025,"Apr 17, 2019",TPTX,"Turning Point Therapeutics, Inc.",18.0,31.345,0.741,Health Care,Biotechnology,United States,2,0.25,5.5,6.6125,15.3875,2.32703213610586
9,2,57,PHI,JJ Arcega-Whiteside\ArceJJ00,WR,22,2021.0,0,0,0,2.0,2.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,290.0,1.0,4.0,,,Stanford,College Stats,2,330.0,Buffalo Bills,2022.0,0.11,0.22,2.9095,-0.9095,-0.3125966660938305,"Apr 18, 2019",GNLN,"Greenlane Holdings, Inc.",17.0,0.379,-0.978,Consumer Discretionary,Distributors,United States,2,0.2361111111111111,0.4722222222222222,6.245138888888889,-4.245138888888889,-0.6797509173801846
10,3,76,WAS,Terry McLaurin\McLaTe00,WR,23,2021.0,0,0,3,23.0,23.0,46.0,0.0,0.0,0.0,0.0,0.0,3.0,42.0,0.0,222.0,3090.0,16.0,2.0,,,Ohio St.,College Stats,3,210.0,Baltimore Ravens,2022.0,0.07,1.61,1.8515000000000001,21.1485,11.422360248447204,"Oct 31, 2019",OYST,"Oyster Point Pharma, Inc.",16.0,7.06,-0.5589999999999999,Health Care,Biotechnology,United States,3,0.2222222222222222,5.111111111111111,5.877777777777777,17.122222222222224,2.91304347826087
11,3,82,TEN,Nate Davis\DaviNa01,G,22,2021.0,0,0,3,19.0,19.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,Charlotte,College Stats,3,180.0,Indianapolis Colts,2022.0,0.06,1.14,1.587,17.413,10.972274732199118,"Feb 14, 2019",TCRR,TCR2 Therapeutics Inc.,15.0,2.4,-0.84,Health Care,Biotechnology,United States,3,0.20833333333333334,3.9583333333333335,5.510416666666667,13.489583333333332,2.4480151228733456
12,4,128,DAL,Tony Pollard\PollTo00,RB,22,2021.0,0,0,0,15.0,15.0,46.0,0.0,0.0,0.0,0.0,0.0,317.0,1609.0,8.0,82.0,637.0,2.0,5.0,,,Memphis,College Stats,5,44.0,Baltimore Ravens,2022.0,0.014666666666666666,0.22,0.3879333333333333,14.612066666666667,37.666437532222034,"Jul 25, 2019",NOVA,"Sunnova Energy International, Inc.",12.0,16.05,0.33799999999999997,Utilities,Independent Power and Renewable Electricity Producers,United States,4,0.16666666666666666,2.5,4.408333333333333,10.591666666666667,2.402646502835539
13,4,106,OAK,Maxx Crosby\CrosMa00,DE,22,2021.0,0,1,3,25.0,25.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,,25.0,East. Michigan,College Stats,4,82.0,Jacksonville Jaguars,2022.0,0.027333333333333334,0.6833333333333333,0.7229666666666666,24.277033333333332,33.57974088247499,"Aug 1, 2019",KRUS,"Kura Sushi USA, Inc.",14.0,54.13,2.866,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,4,0.19444444444444445,4.861111111111112,5.143055555555556,19.856944444444444,3.8609235754793407
14,4,108,NYG,Julian Love\LoveJu00,CB,21,2021.0,0,0,0,8.0,8.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,3.0,0.5,Notre Dame,College Stats,4,78.0,Houston Texans,2022.0,0.026,0.208,0.6877,7.3123000000000005,10.632979496873638,"Sep 19, 2019",XGN,Exagen Inc.,14.0,6.31,-0.5489999999999999,Health Care,Health Care Providers & Services,United States,4,0.19444444444444445,1.5555555555555556,5.143055555555556,2.8569444444444443,0.5554955441533891
15,4,109,IND,Khari Willis\WillKh00,S,23,2021.0,0,0,1,12.0,12.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.0,4.0,3.5,Michigan St.,College Stats,4,76.0,Seattle Seahawks,2022.0,0.025333333333333333,0.304,0.6700666666666666,11.329933333333333,16.908665804397575,"Jan 31, 2019",NFE,New Fortress Energy Inc.,14.0,40.545,1.896,Energy,"Oil, Gas & Consumable Fuels",United States,4,0.19444444444444445,2.3333333333333335,5.143055555555556,6.856944444444444,1.3332433162300836
