,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
23,1,24,NOR,Cesar Ruiz\RuizCe00,C,21.0,2021.0,0,0,2,11.0,11.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,1,740.0,Dallas Cowboys,2022.0,0.24666666666666667,2.7133333333333334,5.328,5.672,1.0645645645645645,"Jun 3, 2020",WMG,Warner Music Group Corp.,25.0,31.39,0.256,Communication Services,Entertainment,United States,1,0.20833333333333334,2.291666666666667,4.500000000000001,6.499999999999999,1.444444444444444
22,1,23,LAC,Kenneth Murray\MurrKe00,LB,21.0,2021.0,0,0,1,10.0,10.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,,1.0,Oklahoma,College Stats,1,760.0,Arizona Cardinals,2022.0,0.25333333333333335,2.5333333333333337,5.472,4.528,0.8274853801169589,"Dec 10, 2020",PCPC,Periphas Capital Partnering Corporation,25.0,24.59,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States,1,0.20833333333333334,2.0833333333333335,4.500000000000001,5.499999999999999,1.2222222222222219
14,1,15,DEN,Jerry Jeudy\JeudJe00,WR,21.0,2021.0,0,0,1,10.0,10.0,26.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,90.0,1323.0,3.0,,,,Alabama,College Stats,1,1050.0,Philadelphia Eagles,2022.0,0.35,3.5,7.56,2.4400000000000004,0.32275132275132284,"Feb 6, 2020",PPD,"PPD, Inc.",27.0,47.28,0.7509999999999999,Health Care,Life Sciences Tools & Services,United States,1,0.225,2.25,4.86,5.14,1.0576131687242798
13,1,14,SFO,Javon Kinlaw\KinlJa00,DT,22.0,2021.0,0,0,1,9.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,1.0,1.5,South Carolina,College Stats,1,1100.0,Baltimore Ravens,2022.0,0.36666666666666664,3.3,7.92,1.08,0.13636363636363638,"Jun 16, 2020",RPRX,Royalty Pharma PLC,28.0,42.82,0.529,Health Care,Pharmaceuticals,United States,1,0.23333333333333334,2.1,5.04,3.96,0.7857142857142857
7,1,8,ARI,Isaiah Simmons\SimmIs00,LB,22.0,2021.0,0,0,1,12.0,12.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,2.0,3.5,Clemson,College Stats,1,1400.0,Atlanta Falcons,2022.0,0.4666666666666667,5.6,10.08,1.92,0.19047619047619047,"Dec 9, 2020",AI,"C3.ai, Inc.",42.0,17.67,-0.579,Information Technology,Software,United States,1,0.35,4.199999999999999,7.56,4.44,0.5873015873015874
6,1,7,CAR,Derrick Brown\BrowDe05,DT,22.0,2021.0,0,0,2,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,,5.0,Auburn,College Stats,1,1500.0,New York Giants,2022.0,0.5,6.0,10.8,1.1999999999999993,0.11111111111111104,"Sep 16, 2020",FROG,JFrog Ltd.,44.0,22.61,-0.486,Information Technology,Software,United States,1,0.36666666666666664,4.3999999999999995,7.92,4.08,0.5151515151515151
20,1,21,PHI,Jalen Reagor\ReagJa00,WR,21.0,2021.0,0,0,2,7.0,7.0,28.0,0.0,0.0,0.0,0.0,0.0,14.0,58.0,0.0,64.0,695.0,3.0,2.0,,,TCU,College Stats,1,800.0,New England Patriots,2022.0,0.26666666666666666,1.8666666666666667,5.760000000000001,1.2399999999999993,0.21527777777777762,"Jul 22, 2020",JAMF,Jamf Holding Corporation,26.0,30.16,0.16,Information Technology,Software,United States,1,0.21666666666666667,1.5166666666666666,4.680000000000001,2.3199999999999994,0.4957264957264955
11,1,12,LVR,Henry Ruggs III\RuggHe00,WR,21.0,2021.0,0,0,1,8.0,8.0,20.0,0.0,0.0,0.0,0.0,0.0,12.0,65.0,0.0,50.0,921.0,4.0,,,,Alabama,College Stats,1,1200.0,Minnesota Vikings,2022.0,0.4,3.2,8.64,-0.6400000000000006,-0.07407407407407414,"Nov 24, 2020",OZON,Ozon Holdings PLC,30.0,11.6,-0.613,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.25,2.0,5.4,2.5999999999999996,0.4814814814814814
4,1,5,MIA,Tua Tagovailoa\TagoTu00,QB,22.0,2021.0,0,0,2,12.0,12.0,23.0,449.0,678.0,4467.0,27.0,15.0,78.0,237.0,6.0,0.0,0.0,0.0,,,,Alabama,College Stats,1,1700.0,New York Giants,2022.0,0.5666666666666667,6.8,12.24,-0.2400000000000002,-0.01960784313725492,"Dec 3, 2020",DCBO,"Docebo, Inc.",52.21,45.46,-0.129,Technology,Software-Application,United States,1,0.4350833333333333,5.221,9.3978,2.6022,0.27689459235140135
19,1,20,JAX,K'Lavon Chaisson\ChaiKL00,DE,21.0,2021.0,0,0,0,6.0,6.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,,2.0,LSU,College Stats,1,850.0,Pittsburgh Steelers,2022.0,0.2833333333333333,1.7,6.12,-0.1200000000000001,-0.01960784313725492,"Nov 20, 2020",MRVI,"Maravai LifeSciences Holdings, Inc.",27.0,32.805,0.215,Health Care,Biotechnology,United States,1,0.225,1.35,4.86,1.1399999999999997,0.23456790123456783
30,1,31,MIN,Jeff Gladney\GladJe00,CB,23.0,2020.0,0,0,1,5.0,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,,,TCU,College Stats,1,600.0,Cincinnati Bengals,2022.0,0.2,1.0,4.32,0.6799999999999997,0.15740740740740733,"Jun 12, 2020",AZEK,"The AZEK Company, Inc.",23.0,22.5,-0.022000000000000002,Industrials,Building Products,United States,1,0.19166666666666668,0.9583333333333334,4.140000000000001,0.8599999999999994,0.20772946859903366
0,1,1,CIN,Joe Burrow\BurrJo01,QB,23.0,2021.0,0,0,2,22.0,22.0,26.0,630.0,924.0,7299.0,47.0,19.0,77.0,260.0,5.0,0.0,0.0,0.0,1.0,,,LSU,College Stats,1,3000.0,Jacksonville Jaguars,2022.0,1.0,22.0,21.6,0.3999999999999986,0.01851851851851845,"Sep 16, 2020",SNOW,Snowflake Inc.,120.0,173.46,0.445,Information Technology,IT Services,United States,1,1.0,22.0,21.6,0.3999999999999986,0.01851851851851845
1,1,2,WAS,Chase Young\YounCh04,DE,21.0,2021.0,0,1,1,18.0,18.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,,9.0,Ohio St.,College Stats,1,2600.0,Detroit Lions,2022.0,0.8666666666666667,15.600000000000001,18.720000000000002,-0.7200000000000024,-0.03846153846153859,"Dec 9, 2020",DASH,"DoorDash, Inc.",102.0,89.42,-0.12300000000000001,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,0.85,15.299999999999999,18.36,-0.35999999999999943,-0.01960784313725487
10,1,11,NYJ,Mekhi Becton\BectMe00,T,21.0,2021.0,0,0,1,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Louisville,College Stats,1,1250.0,Washington Commanders,2022.0,0.4166666666666667,2.0833333333333335,9.000000000000002,-4.000000000000002,-0.44444444444444453,"Sep 11, 2020",LSPD,"Lightspeed Commerce, Inc.",30.5,21.91,-0.282,Information Technology,Software,Canada,1,0.25416666666666665,1.2708333333333333,5.49,-0.4900000000000002,-0.08925318761384339
3,1,4,NYG,Andrew Thomas\ThomAn02,T,21.0,2021.0,0,0,2,11.0,11.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,,,Georgia,College Stats,1,1800.0,New York Jets,2022.0,0.6,6.6,12.96,-1.9600000000000009,-0.15123456790123463,"Dec 10, 2020",ABNB,"Airbnb, Inc.",68.0,156.7,1.304,Consumer Discretionary,"Hotels, Restaurants & Leisure",United States,1,0.5666666666666667,6.233333333333333,12.24,-1.2400000000000002,-0.10130718954248367
29,1,30,MIA,Noah Igbinoghene\IgbiNo00,CB,20.0,2021.0,0,0,0,3.0,3.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,Auburn,College Stats,1,620.0,Kansas City Chiefs,2022.0,0.20666666666666667,0.62,4.464,-1.4640000000000004,-0.32795698924731187,"Jun 5, 2020",FOUR,"Shift4 Payments, Inc.",23.0,51.34,1.232,Information Technology,IT Services,United States,1,0.19166666666666668,0.5750000000000001,4.140000000000001,-1.1400000000000006,-0.2753623188405798
8,1,9,JAX,C.J. Henderson\HendCJ00,CB,21.0,2021.0,0,0,1,3.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,1.0,,Florida,College Stats,1,1350.0,Denver Broncos,2022.0,0.45,1.35,9.72,-6.720000000000001,-0.6913580246913581,"Sep 23, 2020",GDRX,"GoodRx Holdings, Inc.",33.0,15.88,-0.519,Health Care,Health Care Technology,United States,1,0.275,0.8250000000000001,5.940000000000001,-2.9400000000000013,-0.4949494949494951
25,1,26,GNB,Jordan Love\LoveJo03,QB,21.0,2021.0,0,0,0,2.0,2.0,6.0,36.0,62.0,411.0,2.0,3.0,12.0,27.0,0.0,0.0,0.0,0.0,,,,Utah St.,College Stats,1,700.0,Tennessee Titans,2022.0,0.23333333333333334,0.4666666666666667,5.04,-3.04,-0.6031746031746031,"Aug 5, 2020",BIGC,"BigCommerce Holdings, Inc.",24.0,17.29,-0.28,Information Technology,IT Services,United States,1,0.2,0.4,4.32,-2.3200000000000003,-0.5370370370370371
18,1,19,LVR,Damon Arnette\ArneDa00,CB,24.0,2021.0,0,0,0,2.0,2.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,,Ohio St.,College Stats,1,875.0,Philadelphia Eagles,2022.0,0.2916666666666667,0.5833333333333334,6.300000000000001,-4.300000000000001,-0.6825396825396826,"Oct 28, 2020",ROOT,"Root, Inc.",27.0,1.535,-0.943,Financial Services,Insurance-Property & Casualty,United States,1,0.225,0.45,4.86,-2.8600000000000003,-0.588477366255144
2,1,3,DET,Jeff Okudah\OkudJe00,CB,21.0,2021.0,0,0,0,2.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,1.0,,Ohio St.,College Stats,1,2200.0,Houston Texans,2022.0,0.7333333333333333,1.4666666666666666,15.84,-13.84,-0.8737373737373737,"Dec 17, 2020",MDWT,"Midwest Holding, Inc.",70.0,12.37,-0.823,Financial Services,Insurance-Life,United States,1,0.5833333333333334,1.1666666666666667,12.600000000000001,-10.600000000000001,-0.8412698412698413
28,1,29,TEN,Isaiah Wilson\WilsIs00,T,21.0,2020.0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Georgia,College Stats,1,640.0,Miami Dolphins,2022.0,0.21333333333333335,0.0,4.6080000000000005,-4.6080000000000005,-1.0,"Aug 19, 2020",HRMY,"Harmony Biosciences Holdings, Inc.",24.0,50.91,1.121,Health Care,Biotechnology,United States,1,0.2,0.0,4.32,-4.32,-1.0
