,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
8,"Dec 12, 2019",BILL,"Bill.com Holdings, Inc.",22.0,175.11,6.96,Information Technology,Software,United States,1,23
136,"Jun 12, 2019",CRWD,"CrowdStrike Holdings, Inc.",34.0,207.12,5.092,Information Technology,Software,United States,1,7
61,"Sep 19, 2019",DDOG,"Datadog, Inc.",27.0,119.98,3.444,Information Technology,Software,United States,1,11
185,"Apr 4, 2019",TW,Tradeweb Markets Inc.,27.0,79.9,1.959,Financials,Capital Markets,United States,1,12
173,"Apr 18, 2019",ZM,"Zoom Video Communications, Inc.",36.0,101.68,1.824,Information Technology,Software,United States,1,6
134,"Jun 13, 2019",FVRR,Fiverr International Ltd.,21.0,55.21,1.629,Consumer Discretionary,Internet & Direct Marketing Retail,Israel,1,27
96,"Jul 25, 2019",LVGO,Livongo Health,28.0,139.77,1.3980000000000001,,,,1,9
64,"Sep 18, 2019",NVST,Envista Holdings Corporation,22.0,43.39,0.972,Health Care,Health Care Equipment & Supplies,United States,1,25
187,"Apr 4, 2019",SILK,"Silk Road Medical, Inc.",20.0,37.65,0.882,Health Care,Health Care Equipment & Supplies,United States,1,30
133,"Jun 14, 2019",CHWY,"Chewy, Inc.",22.0,34.82,0.583,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,21
170,"May 2, 2019",BYND,Beyond Meat Inc,25.0,38.07,0.523,Consumer Staples,Food Products,United States,1,17
129,"Jun 20, 2019",GO,Grocery Outlet Holding Corporation,22.0,33.02,0.501,Consumer Staples,Food & Staples Retailing,United States,1,20
127,"Jun 20, 2019",WORK,"Slack Technologies, Inc.",26.0,45.2,0.452,,,,1,15
72,"Sep 12, 2019",TXG,"10X Genomics, Inc.",39.0,54.59,0.4,Health Care,Life Sciences Tools & Services,United States,1,5
160,"May 8, 2019",PSN,Parsons Corporation,27.0,37.04,0.37200000000000005,Industrials,Aerospace & Defense,United States,1,13
192,"Mar 28, 2019",WTRE,Watford Holdings Ltd.,25.26,34.99,0.35,,,,1,16
103,"Jul 19, 2019",MDLA,"Medallia, Inc.",21.0,33.99,0.34,,,,1,28
71,"Sep 13, 2019",ALRS,Alerus Financial Corporation,21.0,26.27,0.251,Financials,Diversified Financial Services,United States,1,26
181,"Apr 11, 2019",PD,"PagerDuty, Inc.",24.0,29.63,0.235,Information Technology,Software,United States,1,18
166,"May 3, 2019",RRBI,"Red River Bancshares, Inc.",45.0,54.29,0.20600000000000002,Financials,Banks,United States,1,3
53,"Oct 11, 2019",VIR,"Vir Biotechnology, Inc.",20.0,21.59,0.08,Health Care,Biotechnology,United States,1,31
9,"Dec 11, 2019",XP,XP Inc.,27.0,25.515,-0.055,Financials,Capital Markets,Brazil,1,10
106,"Jul 18, 2019",AMK,"AssetMark Financial Holdings, Inc.",22.0,20.36,-0.07400000000000001,Financials,Capital Markets,United States,1,22
95,"Jul 25, 2019",HCAT,"Health Catalyst, Inc.",26.0,20.21,-0.223,Health Care,Health Care Technology,United States,1,14
60,"Sep 26, 2019",PTON,"Peloton Interactive, Inc.",29.0,20.38,-0.297,Consumer Discretionary,Leisure Products,United States,1,8
152,"May 10, 2019",UBER,"Uber Technologies, Inc.",45.0,31.195,-0.307,Industrials,Road & Rail,United States,1,4
102,"Jul 19, 2019",IFS,Intercorp Financial Services Inc.,46.0,31.6,-0.313,Financial Services,Banks-Regional,Peru,1,2
190,"Mar 29, 2019",LYFT,"Lyft, Inc.",72.0,33.32,-0.537,Industrials,Road & Rail,United States,1,1
120,"Jun 27, 2019",ADPT,Adaptive Biotechnologies Corporation,20.0,9.24,-0.5379999999999999,Health Care,Life Sciences Tools & Services,United States,1,32
117,"Jun 28, 2019",REAL,"The RealReal, Inc.",20.0,6.165,-0.6920000000000001,Consumer Discretionary,Internet & Direct Marketing Retail,United States,1,29
195,"Mar 27, 2019",GNFT,Genfit S.A.,22.0,3.78,-0.828,Health Care,Biotechnology,France,1,24
73,"Sep 12, 2019",SDC,"SmileDirectClub, Inc.",23.0,2.03,-0.912,Health Care,Health Care Equipment & Supplies,United States,1,19
