,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
181,6,182,NWE,Michael Onwenu\OnweMi00,G,22.0,2021.0,0,0,1,12.0,12.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,6,19.0,New York Giants,2022.0,0.006333333333333333,0.076,0.1368,11.8632,86.71929824561404,"Feb 7, 2020",ONEW,OneWater Marine Inc.,12.0,31.12,1.5930000000000002,Consumer Discretionary,Specialty Retail,United States,6,0.1,1.2000000000000002,2.16,9.84,4.555555555555555
198,6,199,LAR,Jordan Fuller\FullJo01,S,22.0,2021.0,0,0,2,10.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,4.0,,Ohio St.,College Stats,7,12.0,Carolina Panthers,2022.0,0.004,0.04,0.0864,9.9136,114.74074074074075,"Dec 3, 2020",LOKB,Live Oak Acquisition Corp II,10.0,13.38,0.134,Blank Check / SPAC,Blank Check / SPAC,,7,0.08333333333333333,0.8333333333333333,1.8,8.2,4.555555555555555
191,6,192,GNB,Jon Runyan\RunyJo00,T,23.0,2021.0,0,0,1,9.0,9.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Michigan,College Stats,6,15.0,Minnesota Vikings,2022.0,0.005,0.045,0.10800000000000001,8.892,82.33333333333331,"Feb 12, 2020",HUIZ,Huize Holding Limited,10.5,1.12,-0.893,Financial Services,Insurance Brokers,United States,6,0.0875,0.7875,1.89,7.11,3.7619047619047623
199,6,200,PHI,Quez Watkins\WatkQu00,WR,22.0,2021.0,0,0,1,8.0,8.0,23.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,50.0,753.0,2.0,1.0,,,Southern Miss,College Stats,7,11.0,New England Patriots,2022.0,0.0036666666666666666,0.029333333333333333,0.0792,7.9208,100.010101010101,"Dec 3, 2020",SPFR,Jaws Spitfire Acquisition Corporation,10.0,8.44,0.084,Blank Check / SPAC,Blank Check / SPAC,,7,0.08333333333333333,0.6666666666666666,1.8,6.2,3.4444444444444446
186,6,187,CLE,Donovan Peoples-Jones\PeopDo00,WR,21.0,2021.0,0,0,0,8.0,8.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,901.0,5.0,2.0,,,Michigan,College Stats,6,17.0,San Francisco 49ers,2022.0,0.005666666666666667,0.04533333333333334,0.12240000000000002,7.8776,64.359477124183,"Oct 9, 2020",IH,"iHuman, Inc.",12.0,3.105,-0.741,Consumer Defensive,Education & Training Services,United States,6,0.1,0.8,2.16,5.84,2.7037037037037033
196,6,197,DET,John Penisini\PeniJo00,DT,23.0,2021.0,0,0,1,6.0,6.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,,1.0,Utah,College Stats,7,13.0,Jacksonville Jaguars,2022.0,0.004333333333333333,0.026,0.0936,5.9064,63.102564102564095,"Dec 3, 2020",FPAC,Far Peak Acquisition Corporation,10.0,9.891,-0.011000000000000001,Blank Check / SPAC,Blank Check / SPAC,United States,7,0.08333333333333333,0.5,1.8,4.2,2.3333333333333335
194,6,195,NWE,Justin Herron\HerrJu00,T,24.0,2021.0,0,0,0,6.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Wake Forest,College Stats,7,13.0,Los Angeles Chargers,2022.0,0.004333333333333333,0.026,0.0936,5.9064,63.102564102564095,"Oct 1, 2020",THRY,"Thryv Holdings, Inc.",10.17,27.12,1.6669999999999998,Communication Services,Media,United States,7,0.08475,0.5085000000000001,1.8306000000000002,4.1693999999999996,2.277613897082923
179,6,180,CIN,Hakeem Adeniji\AdenHa00,T,22.0,2021.0,0,0,0,7.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Kansas,College Stats,6,19.0,Jacksonville Jaguars,2022.0,0.006333333333333333,0.044333333333333336,0.1368,6.8632,50.16959064327485,"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13.0,39.11,2.008,Consumer Discretionary,Specialty Retail,United States,6,0.10833333333333334,0.7583333333333333,2.3400000000000003,4.66,1.9914529914529913
187,6,188,BUF,Tyler Bass\BassTy00,K,23.0,2021.0,0,0,0,6.0,6.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,Georgia Southern,College Stats,6,16.0,Jacksonville Jaguars,2022.0,0.005333333333333333,0.032,0.1152,5.8848,51.083333333333336,"Jul 30, 2020",LI,"Li Auto, Inc.",11.5,22.4,0.948,Consumer Discretionary,Automobiles,United States,6,0.09583333333333334,0.5750000000000001,2.0700000000000003,3.9299999999999997,1.8985507246376807
213,6,214,SEA,Freddie Swain\SwaiFr00,WR,22.0,2021.0,0,0,0,5.0,5.0,33.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0,38.0,502.0,6.0,2.0,,,Florida,College Stats,7,6.0,Los Angeles Chargers,2022.0,0.002,0.01,0.0432,4.9568,114.74074074074075,"Dec 4, 2020",PTIC,Proptech Investment Corporation II,10.0,9.84,-0.016,Blank Check / SPAC,Blank Check / SPAC,United States,7,0.08333333333333333,0.41666666666666663,1.8,3.2,1.777777777777778
