,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
199,"Oct 2, 2020",ASO,"Academy Sports and Outdoors, Inc.",13.0,39.11,2.008,Consumer Discretionary,Specialty Retail,United States,6,180
461,"Feb 7, 2020",ONEW,OneWater Marine Inc.,12.0,31.12,1.5930000000000002,Consumer Discretionary,Specialty Retail,United States,6,182
338,"Jul 30, 2020",LI,"Li Auto, Inc.",11.5,22.4,0.948,Consumer Discretionary,Automobiles,United States,6,188
124,"Oct 29, 2020",ALGM,"Allegro MicroSystems, Inc.",14.0,24.06,0.7190000000000001,Information Technology,Semiconductors & Semiconductor Equipment,United States,6,167
207,"Oct 1, 2020",AVO,"Mission Produce, Inc.",12.0,12.88,0.073,Consumer Defensive,Farm Products,United States,6,185
476,"Jan 17, 2020",DNK,Phoenix Tree Holdings Ltd.,13.5,2.37,0.024,,,,6,173
478,"Jan 17, 2020",IMAB,I-Mab,14.0,13.59,-0.028999999999999998,Health Care,Biotechnology,United States,6,168
479,"Jan 17, 2020",VEL,"Velocity Financial, Inc.",13.0,10.28,-0.209,Financials,Thrifts & Mortgage Finance,United States,6,178
132,"Oct 28, 2020",ABST,Absolute Software Corporation,11.0,7.94,-0.278,Technology,Software-Application,Canada,6,191
254,"Sep 17, 2020",PTVE,"Pactiv Evergreen, Inc.",14.0,10.06,-0.281,Materials,Containers & Packaging,United States,6,170
369,"Jul 10, 2020",IVA,Inventiva SA,14.4,10.23,-0.29,Health Care,Biotechnology,France,6,166
141,"Oct 22, 2020",GHLD,Guild Holdings Company,15.0,9.37,-0.375,Financial Services,Mortgage Finance,United States,6,164
469,"Jan 31, 2020",ONEM,"1Life Healthcare, Inc.",14.0,8.3,-0.40700000000000003,Health Care,Health Care Equipment & Supplies,United States,6,169
466,"Feb 6, 2020",CSPR,"Casper Sleep, Inc.",12.0,6.78,-0.435,Consumer Cyclical,Specialty Retail,United States,6,183
0,"Dec 29, 2020",MRM,"Medirom Healthcare Technologies, Inc.",15.0,7.82,-0.479,Consumer Cyclical,Personal Services,United States,6,163
37,"Dec 11, 2020",NBTX,Nanobiotix S.A.,13.5,6.305,-0.5329999999999999,Health Care,Biotechnology,France,6,175
164,"Oct 16, 2020",OPT,Opthea Limited,13.5,6.15,-0.544,Health Care,Biotechnology,Australia,6,176
119,"Oct 30, 2020",LU,Lufax Holding Ltd.,13.5,5.535,-0.59,Financials,Consumer Finance,United States,6,177
356,"Jul 17, 2020",RNLX,Renalytix plc,13.5,5.12,-0.621,Health Care,Health Care Technology,United Kingdom,6,172
215,"Sep 30, 2020",CD,Chindata Group Holdings Limited,13.5,4.805,-0.644,Technology,Information Technology Services,China,6,174
226,"Sep 25, 2020",VIAO,VIA optronics AG,15.0,5.167000000000001,-0.655,Technology,Electronic Components,Germany,6,161
196,"Oct 2, 2020",IMNM,"Immunome, Inc.",12.0,4.01,-0.6659999999999999,Health Care,Biotechnology,United States,6,181
406,"Jun 5, 2020",AMTI,"Applied Molecular Transport, Inc.",14.0,4.67,-0.6659999999999999,Health Care,Biotechnology,United States,6,171
180,"Oct 9, 2020",IH,"iHuman, Inc.",12.0,3.105,-0.741,Consumer Defensive,Education & Training Services,United States,6,187
125,"Oct 29, 2020",GLTO,"Galecto, Inc.",15.0,1.93,-0.871,Health Care,Biotechnology,United States,6,165
458,"Feb 12, 2020",HUIZ,Huize Holding Limited,10.5,1.12,-0.893,Financial Services,Insurance Brokers,United States,6,192
477,"Jan 17, 2020",LIZI,Lizhi Inc.,11.0,1.11,-0.899,Communication Services,Internet Content & Information,United States,6,190
197,"Oct 2, 2020",ONCR,"Oncorus, Inc.",15.0,1.365,-0.909,Health Care,Biotechnology,United States,6,162
163,"Oct 16, 2020",KRBP,"Kiromic BioPharma, Inc.",12.0,0.63,-0.948,Health Care,Biotechnology,United States,6,186
259,"Sep 16, 2020",MTCR,"Metacrine, Inc.",13.0,0.485,-0.963,Health Care,Biotechnology,United States,6,179
472,"Jan 30, 2020",ANPC,AnPac Bio-Medical Science Co. Ltd.,12.0,0.348,-0.971,Health Care,Biotechnology,British Virgin Islands,6,184
222,"Sep 29, 2020",ORPHY,Orphazyme A/S,11.0,,,Health Care,Biotechnology,Denmark,6,189
