,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
417,"May 22, 2020",NARI,"Inari Medical, Inc.",19.0,84.08,3.425,Health Care,Health Care Equipment & Supplies,United States,3,87
447,"Mar 3, 2020",GFL,"GFL Environmental, Inc.",19.0,31.27,0.6459999999999999,Industrials,Waste Management,Canada,3,75
345,"Jul 24, 2020",ITOS,"iTeos Therapeutics, Inc.",19.0,29.32,0.5429999999999999,Health Care,Biotechnology,United States,3,85
206,"Oct 1, 2020",LUNG,Pulmonx Corporation,19.0,26.0,0.368,Health Care,Health Care Equipment & Supplies,United States,3,80
463,"Feb 7, 2020",PFHD,Professional Holding Corp.,18.5,23.84,0.289,Financials,Banks,United States,3,91
462,"Feb 7, 2020",NREF,"NexPoint Real Estate Finance, Inc.",19.0,22.84,0.20199999999999999,Real Estate,REIT-Mortgage,United States,3,76
353,"Jul 22, 2020",PSTH,"Pershing Square Tontine Holdings, Ltd.",20.0,19.875,-0.006,Financials,Diversified Financial Services,United States,3,66
402,"Jun 12, 2020",RNA,"Avidity Biosciences, Inc.",18.0,16.63,-0.076,Health Care,Biotechnology,United States,3,93
412,"Jun 5, 2020",CALT,Calliditas Therapeutics AB,19.5,17.17,-0.11900000000000001,Health Care,Biotechnology,Sweden,3,69
316,"Aug 7, 2020",IBEX,IBEX Limited,19.0,15.76,-0.171,Information Technology,Software,United States,3,73
129,"Oct 28, 2020",MAX,"MediaAlpha, Inc.",19.0,15.3,-0.195,Communication Services,Internet Content & Information,United States,3,78
340,"Jul 29, 2020",VERX,"Vertex, Inc.",19.0,14.5,-0.237,Technology,Software-Application,United States,3,72
354,"Jul 17, 2020",ALXO,"ALX Oncology Holdings, Inc.",19.0,14.28,-0.248,Health Care,Biotechnology,United States,3,89
421,"May 15, 2020",ADCT,ADC Therapeutics SA,19.0,12.96,-0.318,Information Technology,Communications Equipment,United States,3,90
347,"Jul 24, 2020",NRIX,"Nurix Therapeutics, Inc.",19.0,12.705,-0.331,Health Care,Biotechnology,United States,3,77
46,"Dec 10, 2020",HYFM,"Hydrofarm Holdings Group, Inc.",20.0,10.9,-0.455,Industrials,Farm & Heavy Construction Machinery,United States,3,68
198,"Oct 2, 2020",CCCC,"C4 Therapeutics, Inc.",19.0,9.35,-0.508,Health Care,Biotechnology,United States,3,81
60,"Dec 4, 2020",SEER,"Seer, Inc.",19.0,8.77,-0.5379999999999999,Health Care,Life Sciences Tools & Services,United States,3,88
160,"Oct 16, 2020",PRAX,"Praxis Precision Medicines, Inc.",19.0,8.61,-0.547,Health Care,Biotechnology,United States,3,84
255,"Sep 17, 2020",DYN,"Dyne Therapeutics, Inc.",19.0,8.51,-0.552,Utilities,Independent Power and Renewable Electricity Producers,United States,3,74
39,"Dec 11, 2020",ABCL,AbCellera Biologics Inc.,20.0,7.97,-0.602,Health Care,Biotechnology,United States,3,65
171,"Oct 15, 2020",MNSO,Miniso Group Holding Limited,20.0,7.58,-0.621,Consumer Cyclical,Specialty Retail,China,3,67
401,"Jun 12, 2020",GBIO,Generation Bio Co.,19.0,6.78,-0.643,Health Care,Biotechnology,United States,3,86
332,"Jul 31, 2020",VSTA,Vasta Platform Limited,19.0,5.41,-0.715,Consumer Defensive,Education & Training Services,United States,3,71
176,"Oct 9, 2020",KRON,"Kronos Bio, Inc.",19.0,5.3,-0.721,Health Care,Biotechnology,United States,3,82
223,"Sep 25, 2020",PRLD,"Prelude Therapeutics, Inc.",19.0,5.215,-0.725,Health Care,Biotechnology,United States,3,79
161,"Oct 16, 2020",EAR,"Eargo, Inc.",18.0,3.55,-0.8029999999999999,Health Care,Medical Devices,United States,3,92
252,"Sep 17, 2020",AMWL,American Well Corporation,18.0,3.315,-0.816,Health Care,Health Information Services,United States,3,94
99,"Nov 19, 2020",OLMA,"Olema Pharmaceuticals, Inc.",19.0,2.82,-0.852,Health Care,Biotechnology,United States,3,70
471,"Jan 30, 2020",BDTX,"Black Diamond Therapeutics, Inc.",19.0,2.765,-0.855,Health Care,Biotechnology,United States,3,83
448,"Feb 28, 2020",PASG,"Passage Bio, Inc.",18.0,2.51,-0.861,Health Care,Biotechnology,United States,3,95
127,"Oct 28, 2020",BDSX,"Biodesix, Inc.",18.0,1.65,-0.9079999999999999,Health Care,Diagnostics & Research,United States,3,96
