,Rnd,Pick,Tm_x,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,TD.1,Rec,Yds.2,TD.2,Solo,Int.1,Sk,College/Univ,Unnamed: 28,Round_x,Value,Tm_y,Year,Multiplier,AdjustedValue,AvgValue,AVoverAvg,Return_x,IPO Date,Symbol,Company Name,IPO Price,Current,Return_y,Sector,Industry,Country,Round_y,IPOMultiplier,AdjustedValueIPO,AvgValueIPO,AVoverAvgIPO,ReturnIPO
38,2,39,MIA,Robert Hunt\HuntRo01,G,24.0,2021.0,0,0,2,11.0,11.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,Louisiana,College Stats,2,510.0,Chicago Bears,2022.0,0.17,1.87,3.6720000000000006,7.327999999999999,1.995642701525054,"Sep 23, 2020",BSY,"Bentley Systems, Inc.",22.0,42.13,0.915,Technology,Software-Application,United States,2,0.18333333333333332,2.0166666666666666,3.96,7.04,1.777777777777778
49,2,50,CHI,Jaylon Johnson\JohnJa13,CB,21.0,2021.0,0,0,2,10.0,10.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1.0,,Utah,College Stats,2,400.0,Miami Dolphins,2022.0,0.13333333333333333,1.3333333333333333,2.8800000000000003,7.119999999999999,2.472222222222222,"Sep 30, 2020",ASAN,"Asana, Inc.",21.0,28.655,0.365,Information Technology,Software,United States,2,0.175,1.75,3.78,6.220000000000001,1.6455026455026458
62,2,63,KAN,Willie Gay Jr.\GayJWi00,LB,22.0,2021.0,0,0,2,9.0,9.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,2.0,1.5,Mississippi St.,College Stats,2,276.0,Cincinnati Bengals,2022.0,0.092,0.828,1.9872,7.0128,3.528985507246377,"Dec 9, 2020",PUBM,"PubMatic, Inc.",20.0,23.125,0.156,Consumer Discretionary,Internet & Direct Marketing Retail,United States,2,0.16666666666666666,1.5,3.6,5.4,1.5
36,2,37,NWE,Kyle Dugger\DuggKy00,S,24.0,2021.0,0,0,1,9.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,4.0,,Lenoir-Rhyne,,2,530.0,Houston Texans,2022.0,0.17666666666666667,1.59,3.8160000000000003,5.183999999999999,1.3584905660377355,"Jul 1, 2020",DNB,"Dun & Bradstreet Holdings, Inc.",22.0,16.725,-0.24,Industrials,Professional Services,United States,2,0.18333333333333332,1.65,3.96,5.04,1.2727272727272727
35,2,36,NYG,Xavier McKinney\McKiXa00,S,21.0,2021.0,0,0,1,9.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,6.0,,Alabama,College Stats,2,540.0,New York Giants,2022.0,0.18,1.6199999999999999,3.888,5.112,1.3148148148148149,"Jul 17, 2020",BLI,"Berkeley Lights, Inc.",22.0,5.33,-0.758,Health Care,Life Sciences Tools & Services,United States,2,0.18333333333333332,1.65,3.96,5.04,1.2727272727272727
41,2,42,JAX,Laviska Shenault Jr.\ShenLa00,WR,21.0,2021.0,0,0,1,9.0,9.0,30.0,0.0,0.0,0.0,0.0,0.0,29.0,132.0,0.0,121.0,1219.0,5.0,1.0,,,Colorado,College Stats,2,480.0,Washington Commanders,2022.0,0.16,1.44,3.4560000000000004,5.544,1.6041666666666663,"Sep 17, 2020",SUMO,"Sumo Logic, Inc.",22.0,9.705,-0.5589999999999999,Information Technology,Software,United States,2,0.18333333333333332,1.65,3.96,5.04,1.2727272727272727
54,2,55,BAL,J.K. Dobbins\DobbJK00,RB,21.0,2020.0,0,0,0,7.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,134.0,805.0,9.0,18.0,120.0,0.0,,,,Ohio St.,College Stats,2,350.0,Arizona Cardinals,2022.0,0.11666666666666667,0.8166666666666667,2.52,4.48,1.777777777777778,"Aug 13, 2020",BEKE,"KE Holdings, Inc.",20.0,12.095,-0.395,Real Estate,Real Estate Management & Development,China,2,0.16666666666666666,1.1666666666666665,3.6,3.4,0.9444444444444444
42,2,43,CHI,Cole Kmet\KmetCo00,TE,21.0,2021.0,0,0,2,7.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0.0,88.0,855.0,2.0,1.0,,,Notre Dame,College Stats,2,470.0,Atlanta Falcons,2022.0,0.15666666666666668,1.0966666666666667,3.3840000000000003,3.6159999999999997,1.0685579196217492,"Sep 23, 2020",LSF,"Laird Superfood, Inc.",22.0,2.49,-0.887,Consumer Defensive,Packaged Foods,United States,2,0.18333333333333332,1.2833333333333332,3.96,3.04,0.7676767676767677
60,2,61,TEN,Kristian Fulton\FultKr00,CB,22.0,2021.0,0,0,1,5.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,3.0,1.0,LSU,College Stats,2,292.0,San Francisco 49ers,2022.0,0.09733333333333333,0.48666666666666664,2.1024,2.8976,1.3782343987823442,"Dec 16, 2020",UPST,"Upstart Holdings, Inc.",20.0,76.24,2.812,Financials,Consumer Finance,United States,2,0.16666666666666666,0.8333333333333333,3.6,1.4,0.38888888888888884
37,2,38,CAR,Yetur Gross-Matos\GrosYe00,DE,22.0,2021.0,0,0,0,5.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,6.0,Penn St.,College Stats,2,520.0,New York Jets,2022.0,0.17333333333333334,0.8666666666666667,3.744,1.2559999999999998,0.3354700854700854,"Jul 2, 2020",ACCD,"Accolade, Inc.",22.0,11.91,-0.45899999999999996,Health Care,Health Care Technology,United States,2,0.18333333333333332,0.9166666666666666,3.96,1.04,0.26262626262626265
51,2,52,LAR,Cam Akers\AkerCa00,RB,21.0,2021.0,0,0,0,4.0,4.0,14.0,0.0,0.0,0.0,0.0,0.0,150.0,628.0,2.0,14.0,133.0,1.0,,,,Florida St.,College Stats,2,380.0,Pittsburgh Steelers,2022.0,0.12666666666666668,0.5066666666666667,2.736,1.2639999999999998,0.4619883040935671,"Aug 28, 2020",GP,"GreenPower Motor Company, Inc.",20.0,6.48,-0.6759999999999999,Industrials,Machinery,United States,2,0.16666666666666666,0.6666666666666666,3.6,0.3999999999999999,0.11111111111111108
58,2,59,NYJ,Denzel Mims\MimsDe00,WR,22.0,2021.0,0,0,1,4.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,490.0,0.0,,,,Baylor,College Stats,2,310.0,Green Bay Packers,2022.0,0.10333333333333333,0.41333333333333333,2.232,1.7679999999999998,0.7921146953405016,"Sep 24, 2020",TSHA,"Taysha Gene Therapies, Inc.",20.0,4.68,-0.7659999999999999,Health Care,Biotechnology,United States,2,0.16666666666666666,0.6666666666666666,3.6,0.3999999999999999,0.11111111111111108
45,2,46,DEN,KJ Hamler\HamlKJ00,WR,21.0,2021.0,0,0,0,4.0,4.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,40.0,0.0,35.0,455.0,3.0,,,,Penn St.,College Stats,2,440.0,Minnesota Vikings,2022.0,0.14666666666666667,0.5866666666666667,3.168,0.8319999999999999,0.26262626262626254,"Jul 15, 2020",GOCO,"GoHealth, Inc.",21.0,0.742,-0.965,Financial Services,Insurance Brokers,United States,2,0.175,0.7,3.78,0.2200000000000002,0.05820105820105825
53,2,54,BUF,A.J. Epenesa\EpenAJ00,DE,21.0,2021.0,0,0,0,3.0,3.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,,2.5,Iowa,College Stats,2,360.0,New England Patriots,2022.0,0.12,0.36,2.592,0.4079999999999999,0.15740740740740738,"Dec 3, 2020",KNTE,"Kinnate Biopharma, Inc.",20.0,8.315,-0.584,Health Care,Biotechnology,United States,2,0.16666666666666666,0.5,3.6,-0.6000000000000001,-0.16666666666666669
59,2,60,NWE,Josh Uche\UcheJo00,LB,21.0,2021.0,0,0,0,3.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,4.0,Michigan,College Stats,2,300.0,Tampa Bay Buccaneers,2022.0,0.1,0.30000000000000004,2.16,0.8399999999999999,0.3888888888888888,"Aug 21, 2020",KYMR,"Kymera Therapeutics, Inc.",20.0,34.16,0.708,Health Care,Biotechnology,United States,2,0.16666666666666666,0.5,3.6,-0.6000000000000001,-0.16666666666666669
46,2,47,ATL,Marlon Davidson\DaviMa01,DE,22.0,2021.0,0,0,0,3.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,1.0,Auburn,College Stats,2,430.0,Indianapolis Colts,2022.0,0.14333333333333334,0.43000000000000005,3.0960000000000005,-0.09600000000000053,-0.031007751937984662,"Jun 4, 2020",ZI,"ZoomInfo Technologies, Inc.",21.0,49.47,1.3559999999999999,Communication Services,Interactive Media & Services,United States,2,0.175,0.5249999999999999,3.78,-0.7799999999999998,-0.2063492063492063
47,2,48,SEA,Darrell Taylor\TaylDa00,DE,23.0,2021.0,0,0,0,3.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,,6.5,Tennessee,College Stats,2,420.0,Los Angeles Chargers,2022.0,0.14,0.42000000000000004,3.0240000000000005,-0.024000000000000465,-0.007936507936508089,"Dec 4, 2020",SBTX,"Silverback Therapeutics, Inc.",21.0,3.18,-0.8490000000000001,Health Care,Biotechnology,United States,2,0.175,0.5249999999999999,3.78,-0.7799999999999998,-0.2063492063492063
39,2,40,HOU,Ross Blacklock\BlacRo00,DT,22.0,2021.0,0,0,0,3.0,3.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,,2.0,TCU,College Stats,2,500.0,Denver Broncos,2022.0,0.16666666666666666,0.5,3.6,-0.6000000000000001,-0.16666666666666669,"Oct 15, 2020",ARRY,"Array Technologies, Inc.",22.0,7.05,-0.679,Technology,Solar,United States,2,0.18333333333333332,0.5499999999999999,3.96,-0.96,-0.24242424242424243
43,2,44,CLE,Grant Delpit\DelpGr00,S,21.0,2021.0,0,0,0,3.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,1.0,1.0,LSU,College Stats,2,460.0,Cleveland Browns,2022.0,0.15333333333333332,0.45999999999999996,3.312,-0.31199999999999983,-0.0942028985507246,"Jun 9, 2020",VRM,"Vroom, Inc.",22.0,1.64,-0.925,Consumer Discretionary,Specialty Retail,United States,2,0.18333333333333332,0.5499999999999999,3.96,-0.96,-0.24242424242424243
