,IPO Date,Symbol,Company Name,IPO Price,Current,Return,Sector,Industry,Country,Round,Pick
1,"Dec 19, 2019",INDO,Indonesia Energy Corporation Limited,11.0,19.47,0.77,Energy,"Oil, Gas & Consumable Fuels",United States,5,132
217,"Feb 12, 2019",ANCN,Anchiano Therapeutics,11.5,75.36,0.754,,,,5,130
207,"Feb 28, 2019",SHLL,Tortoise Acquisition Corp.,10.0,44.91,0.449,Blank Check / SPAC,Blank Check / SPAC,,5,156
91,"Jul 26, 2019",SBE,Switchback Energy Acquisition Corporation,10.0,30.83,0.308,Blank Check / SPAC,Blank Check / SPAC,,5,142
220,"Feb 8, 2019",RMG,RMG Acquisition Corp.,10.0,27.0,0.27,Blank Check / SPAC,Blank Check / SPAC,,5,147
204,"Mar 1, 2019",HCAC,Hennessy Capital Acquisition Corp IV,10.0,19.49,0.195,Blank Check / SPAC,Blank Check / SPAC,,5,159
81,"Aug 8, 2019",SSPK,Silver Spike Acquisition Corp.,10.0,18.84,0.188,Blank Check / SPAC,Blank Check / SPAC,,5,152
205,"Feb 28, 2019",DPHC,DiamondPeak Holdings,10.0,18.21,0.182,Blank Check / SPAC,Blank Check / SPAC,,5,158
110,"Jul 18, 2019",OAC,Oaktree Acquisition Corp.,10.0,16.38,0.16399999999999998,Blank Check / SPAC,Blank Check / SPAC,,5,150
19,"Nov 20, 2019",AMHC,Amplitude Healthcare Acquisition Corp.,10.0,15.12,0.151,Blank Check / SPAC,Blank Check / SPAC,,5,146
13,"Nov 22, 2019",PTAC,PropTech Acquisition Corp.,10.0,14.81,0.14800000000000002,Blank Check / SPAC,Blank Check / SPAC,,5,153
23,"Nov 8, 2019",JIH,"Juniper Industrial Holdings, Inc.",10.0,13.19,0.132,,,,5,143
209,"Feb 22, 2019",ACAM.D,Acamar Partners Acquisition Corp.,10.0,12.3,0.12300000000000001,Blank Check / SPAC,Blank Check / SPAC,,5,155
24,"Nov 8, 2019",SRAC,Stable Road Acquisition Corp.,10.0,10.97,0.11,Blank Check / SPAC,Blank Check / SPAC,,5,139
79,"Aug 9, 2019",THBR,Thunder Bridge Acquisition II Ltd.,10.0,10.87,0.109,Blank Check / SPAC,Blank Check / SPAC,,5,154
20,"Nov 20, 2019",SAQN,Software Acquisition Group,10.0,10.1,0.10099999999999999,Blank Check / SPAC,Blank Check / SPAC,,5,145
203,"Mar 5, 2019",THCB,Tuscan Holdings Corp.,10.0,10.0,0.1,,,,5,160
186,"Apr 4, 2019",RPLA,Replay Acquisition,10.0,9.48,0.095,Blank Check / SPAC,Blank Check / SPAC,,5,149
3,"Dec 13, 2019",HCCO,Healthcare Merger Corp,10.0,8.97,0.09,Blank Check / SPAC,Blank Check / SPAC,,5,157
109,"Jul 18, 2019",CPAA.D,Conyers Park II Acquisition Corp.,10.0,8.86,0.08900000000000001,Blank Check / SPAC,Blank Check / SPAC,,5,141
17,"Nov 21, 2019",GRNV,Greenvision Acquisition Corp.,10.0,8.14,0.081,Blank Check / SPAC,Blank Check / SPAC,,5,148
227,"Jan 17, 2019",RBKB,"Rhinebeck Bancorp, Inc.",10.0,10.23,0.023,Financials,Thrifts & Mortgage Finance,United States,5,144
15,"Nov 22, 2019",CHPM,CHP Merger Corp.,10.0,10.19,0.019,Financial Services,Shell Companies,United States,5,151
177,"Apr 17, 2019",BWAY,Brainsway Ltd.,11.0,7.79,-0.292,Health Care,Health Care Equipment & Supplies,United States,5,133
153,"May 10, 2019",JFIN,Jiayin Group Inc.,10.5,2.24,-0.787,Financials,Consumer Finance,United States,5,137
112,"Jul 17, 2019",DOYU,DouYu International Holdings Ltd.,11.5,1.685,-0.853,Communication Services,Entertainment,China,5,129
139,"Jun 6, 2019",GOTU,"Gaotu Techedu, Inc.",10.5,1.53,-0.8540000000000001,Consumer Discretionary,Diversified Consumer Services,China,5,138
208,"Feb 26, 2019",SLGG,"Super League Gaming, Inc.",11.0,1.545,-0.86,Communication Services,Interactive Media & Services,United States,5,136
41,"Oct 25, 2019",CABA,"Cabaletta Bio, Inc.",11.0,1.37,-0.875,Health Care,Biotechnology,United States,5,131
165,"May 3, 2019",YJ,Yunji Inc.,11.0,1.06,-0.904,Consumer Discretionary,Internet & Direct Marketing Retail,United States,5,134
151,"May 10, 2019",SONM,"Sonim Technologies, Inc.",11.0,0.664,-0.94,Information Technology,"Technology Hardware, Storage & Peripherals",United States,5,135
25,"Nov 8, 2019",MOHO,ECMOHO Limited,10.0,0.218,-0.978,Consumer Discretionary,Internet & Direct Marketing Retail,China,5,140
