,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,65,14,3
20,SAS,Spurs,W,2,58,22,2
6,HOU,Rockets,W,3,52,28,2
7,LAC,Clippers,W,4,51,30,1
23,UTA,Jazz,W,5,49,32,1
21,OKL,Thunder,W,6,46,34,2
5,DEN,Nuggets,W,9,41,40,1
24,MEM,Grizzlies,W,7,41,37,4
18,POR,Trail Blazers,W,8,39,41,2
11,MIN,Timberwolves,W,13,38,41,3
2,NOP,Pelicans,W,10,31,48,3
4,DAL,Mavericks,W,11,31,51,0
19,SAC,Kings,W,12,30,50,2
8,LAL,Lakers,W,14,27,52,3
17,PHX,Suns,W,15,25,56,1
22,TOR,Raptors,E,3,51,27,4
0,ATL,Hawks,E,5,47,34,1
25,WAS,Wizards,E,4,45,35,2
1,BOS,Celtics,E,1,44,37,1
28,CLE,Cavaliers,E,2,44,32,6
15,IND,Pacers,E,7,43,37,2
3,CHI,Bulls,E,8,41,40,1
10,MIL,Bucks,E,6,39,40,3
9,MIA,Heat,E,9,38,39,5
27,CHA,Hornets,E,11,38,43,1
26,DET,Pistons,E,10,37,42,3
13,NYK,Knicks,E,12,31,50,1
14,ORL,Magic,E,13,30,52,0
16,PHI,76ers,E,14,22,56,4
12,BRO,Nets,E,15,21,55,6
