,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,62,17,3
7,LAC,Clippers,W,4,54,27,1
21,OKL,Thunder,W,6,48,34,0
23,UTA,Jazz,W,5,48,34,0
6,HOU,Rockets,W,3,44,34,4
18,POR,Trail Blazers,W,8,40,41,1
24,MEM,Grizzlies,W,7,39,40,3
11,MIN,Timberwolves,W,13,38,43,1
4,DAL,Mavericks,W,11,36,44,2
5,DEN,Nuggets,W,9,36,41,5
19,SAC,Kings,W,12,32,48,2
2,NOP,Pelicans,W,10,31,46,5
8,LAL,Lakers,W,14,24,58,0
17,PHX,Suns,W,15,22,57,3
22,TOR,Raptors,E,3,51,27,4
28,CLE,Cavaliers,E,2,49,31,2
25,WAS,Wizards,E,4,47,34,1
1,BOS,Celtics,E,1,44,33,5
3,CHI,Bulls,E,8,44,36,2
15,IND,Pacers,E,7,44,38,0
26,DET,Pistons,E,10,42,39,1
13,NYK,Knicks,E,12,41,40,1
10,MIL,Bucks,E,6,39,39,4
0,ATL,Hawks,E,5,38,41,3
9,MIA,Heat,E,9,36,45,1
27,CHA,Hornets,E,11,35,42,5
14,ORL,Magic,E,13,31,49,2
16,PHI,76ers,E,14,23,59,0
12,BRO,Nets,E,15,14,67,1
