,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,16,0
20,SAS,Spurs,W,2,57,22,3
6,HOU,Rockets,W,3,54,28,0
7,LAC,Clippers,W,4,51,31,0
23,UTA,Jazz,W,5,49,30,3
21,OKL,Thunder,W,6,45,36,1
24,MEM,Grizzlies,W,7,45,37,0
5,DEN,Nuggets,W,9,41,40,1
11,MIN,Timberwolves,W,13,37,42,3
18,POR,Trail Blazers,W,8,37,42,3
2,NOP,Pelicans,W,10,32,48,2
4,DAL,Mavericks,W,11,31,48,3
19,SAC,Kings,W,12,29,51,2
8,LAL,Lakers,W,14,26,55,1
17,PHX,Suns,W,15,24,56,2
22,TOR,Raptors,E,3,52,28,2
28,CLE,Cavaliers,E,2,50,32,0
0,ATL,Hawks,E,5,47,34,1
1,BOS,Celtics,E,1,47,33,2
25,WAS,Wizards,E,4,46,35,1
15,IND,Pacers,E,7,42,39,1
3,CHI,Bulls,E,8,40,42,0
9,MIA,Heat,E,9,39,41,2
10,MIL,Bucks,E,6,39,42,1
26,DET,Pistons,E,10,39,40,3
27,CHA,Hornets,E,11,35,44,3
13,NYK,Knicks,E,12,29,49,4
14,ORL,Magic,E,13,29,53,0
16,PHI,76ers,E,14,27,53,2
12,BRO,Nets,E,15,21,59,2
