,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,67,13,2
20,SAS,Spurs,W,2,59,21,2
6,HOU,Rockets,W,3,53,27,2
7,LAC,Clippers,W,4,51,30,1
23,UTA,Jazz,W,5,50,31,1
21,OKL,Thunder,W,6,46,35,1
24,MEM,Grizzlies,W,7,43,39,0
5,DEN,Nuggets,W,9,42,40,0
18,POR,Trail Blazers,W,8,39,41,2
11,MIN,Timberwolves,W,13,35,44,3
2,NOP,Pelicans,W,10,32,49,1
4,DAL,Mavericks,W,11,31,50,1
19,SAC,Kings,W,12,29,51,2
8,LAL,Lakers,W,14,26,55,1
17,PHX,Suns,W,15,23,57,2
22,TOR,Raptors,E,3,51,30,1
1,BOS,Celtics,E,1,50,29,3
28,CLE,Cavaliers,E,2,49,30,3
0,ATL,Hawks,E,5,46,33,3
25,WAS,Wizards,E,4,45,34,3
15,IND,Pacers,E,7,42,40,0
3,CHI,Bulls,E,8,41,40,1
9,MIA,Heat,E,9,40,42,0
10,MIL,Bucks,E,6,40,40,2
26,DET,Pistons,E,10,35,44,3
27,CHA,Hornets,E,11,35,47,0
13,NYK,Knicks,E,12,30,50,2
14,ORL,Magic,E,13,29,51,2
16,PHI,76ers,E,14,27,52,3
12,BRO,Nets,E,15,20,61,1
