,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,14,2
20,SAS,Spurs,W,2,60,17,5
7,LAC,Clippers,W,4,49,32,1
23,UTA,Jazz,W,5,46,34,2
21,OKL,Thunder,W,6,44,36,2
24,MEM,Grizzlies,W,7,43,37,2
6,HOU,Rockets,W,3,39,41,2
4,DAL,Mavericks,W,11,37,43,2
5,DEN,Nuggets,W,9,37,45,0
11,MIN,Timberwolves,W,13,37,41,4
18,POR,Trail Blazers,W,8,36,44,2
2,NOP,Pelicans,W,10,34,44,4
19,SAC,Kings,W,12,32,48,2
8,LAL,Lakers,W,14,28,53,1
17,PHX,Suns,W,15,24,54,4
22,TOR,Raptors,E,3,58,21,3
25,WAS,Wizards,E,4,51,30,1
15,IND,Pacers,E,7,47,33,2
3,CHI,Bulls,E,8,44,37,1
28,CLE,Cavaliers,E,2,44,34,4
26,DET,Pistons,E,10,43,37,2
0,ATL,Hawks,E,5,40,41,1
13,NYK,Knicks,E,12,40,40,2
27,CHA,Hornets,E,11,39,41,2
1,BOS,Celtics,E,1,38,41,3
10,MIL,Bucks,E,6,38,39,5
9,MIA,Heat,E,9,36,43,3
14,ORL,Magic,E,13,32,48,2
16,PHI,76ers,E,14,19,58,5
12,BRO,Nets,E,15,13,68,1
