,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,13,3
20,SAS,Spurs,W,2,61,19,2
7,LAC,Clippers,W,4,49,32,1
21,OKL,Thunder,W,6,46,34,2
23,UTA,Jazz,W,5,46,34,2
24,MEM,Grizzlies,W,7,43,39,0
6,HOU,Rockets,W,3,41,40,1
11,MIN,Timberwolves,W,13,40,39,3
18,POR,Trail Blazers,W,8,39,42,1
4,DAL,Mavericks,W,11,37,43,2
5,DEN,Nuggets,W,9,34,43,5
2,NOP,Pelicans,W,10,33,44,5
19,SAC,Kings,W,12,29,52,1
8,LAL,Lakers,W,14,25,55,2
17,PHX,Suns,W,15,24,54,4
22,TOR,Raptors,E,3,57,22,3
25,WAS,Wizards,E,4,50,31,1
28,CLE,Cavaliers,E,2,48,32,2
26,DET,Pistons,E,10,45,35,2
3,CHI,Bulls,E,8,44,36,2
15,IND,Pacers,E,7,44,36,2
1,BOS,Celtics,E,1,41,38,3
13,NYK,Knicks,E,12,40,37,5
0,ATL,Hawks,E,5,39,40,3
10,MIL,Bucks,E,6,38,42,2
27,CHA,Hornets,E,11,38,42,2
9,MIA,Heat,E,9,37,44,1
14,ORL,Magic,E,13,30,48,4
16,PHI,76ers,E,14,19,61,2
12,BRO,Nets,E,15,12,68,2
