,ABBREVIATION,NICKNAME,CONFERENCE,REAL_RANK,WINS,LOSSES,TIES
29,GSW,Warriors,W,1,66,13,3
20,SAS,Spurs,W,2,62,19,1
7,LAC,Clippers,W,4,48,31,3
23,UTA,Jazz,W,5,47,33,2
21,OKL,Thunder,W,6,46,35,1
24,MEM,Grizzlies,W,7,43,39,0
6,HOU,Rockets,W,3,42,39,1
11,MIN,Timberwolves,W,13,40,41,1
18,POR,Trail Blazers,W,8,39,42,1
4,DAL,Mavericks,W,11,36,45,1
5,DEN,Nuggets,W,9,35,43,4
2,NOP,Pelicans,W,10,33,46,3
19,SAC,Kings,W,12,28,51,3
17,PHX,Suns,W,15,26,54,2
8,LAL,Lakers,W,14,25,54,3
22,TOR,Raptors,E,3,56,22,4
25,WAS,Wizards,E,4,48,31,3
28,CLE,Cavaliers,E,2,47,31,4
3,CHI,Bulls,E,8,44,36,2
26,DET,Pistons,E,10,44,35,3
1,BOS,Celtics,E,1,43,37,2
15,IND,Pacers,E,7,43,36,3
0,ATL,Hawks,E,5,40,40,2
13,NYK,Knicks,E,12,40,40,2
27,CHA,Hornets,E,11,38,43,1
10,MIL,Bucks,E,6,37,42,3
9,MIA,Heat,E,9,35,42,5
14,ORL,Magic,E,13,31,47,4
16,PHI,76ers,E,14,18,57,7
12,BRO,Nets,E,15,12,68,2
