,team,wpct,qbnum
0,ARI,0.4387755102040816,3
1,ATL,0.4803921568627451,1
2,BAL,0.6039603960396039,2
3,BUF,0.5673076923076923,2
4,CAR,0.3979591836734694,4
5,CHI,0.42424242424242425,3
6,CIN,0.38613861386138615,2
7,CLE,0.3484848484848485,3
8,DAL,0.5841584158415841,2
9,DEN,0.4020618556701031,5
10,DET,0.3673469387755102,2
11,GB,0.6333333333333333,2
12,HOU,0.43137254901960786,4
13,IND,0.5,4
14,JAX,0.3,3
15,KC,0.7272727272727273,2
16,LAC,0.48484848484848486,2
17,LAR,0.616822429906542,3
18,MIA,0.47959183673469385,4
19,MIN,0.5594059405940595,3
20,NE,0.6944444444444444,3
21,NO,0.6538461538461539,2
22,NYG,0.336734693877551,2
23,NYJ,0.27835051546391754,4
24,OAK,0.47474747474747475,1
25,PHI,0.5336538461538461,2
26,PIT,0.6310679611650486,2
27,SEA,0.5970873786407767,1
28,SF,0.4368932038834951,4
29,TB,0.5339805825242718,2
30,TEN,0.5961538461538461,2
31,WSH,0.4030612244897959,4
