,team,wpct,qbnum
0,ARI,0.35185185185185186,5
1,ATL,0.46407185628742514,4
2,BAL,0.5,7
3,BUF,0.4662576687116564,7
4,CAR,0.47928994082840237,5
5,CHI,0.4074074074074074,8
6,CIN,0.37888198757763975,5
7,CLE,0.3185840707964602,5
8,DAL,0.45454545454545453,5
9,DEN,0.6589595375722543,3
10,DET,0.35185185185185186,3
11,GB,0.630057803468208,1
12,HOU,0.28125,1
13,IND,0.5588235294117647,2
14,JAX,0.5562130177514792,2
15,KC,0.5493827160493827,4
16,LAC,0.39751552795031053,5
17,LAR,0.5352941176470588,3
18,MIA,0.5535714285714286,4
19,MIN,0.5614035087719298,4
20,NE,0.6440677966101694,2
21,NO,0.3950617283950617,6
22,NYG,0.5030120481927711,6
23,NYJ,0.48502994011976047,6
24,OAK,0.46107784431137727,5
25,PHI,0.5578034682080925,4
26,PIT,0.617816091954023,4
27,SEA,0.5301204819277109,4
28,SF,0.5088757396449705,4
29,TB,0.5529411764705883,5
30,TEN,0.5562130177514792,3
31,WSH,0.4847560975609756,7
