,team,wpct,qbnum
0,ARI,0.3490566037735849,8
1,ATL,0.38580246913580246,5
2,BUF,0.615819209039548,1
3,CAR,0.4375,1
4,CHI,0.5833333333333334,5
5,CIN,0.40853658536585363,3
6,CLE,0.5029761904761905,3
7,DAL,0.5581395348837209,3
8,DEN,0.564327485380117,1
9,DET,0.4451219512195122,6
10,GB,0.45481927710843373,3
11,IND,0.4233128834355828,4
12,JAX,0.25,1
13,KC,0.5562130177514792,6
14,LAC,0.46060606060606063,6
15,LAR,0.42073170731707316,2
16,MIA,0.5542168674698795,2
17,MIN,0.5535714285714286,5
18,NE,0.391304347826087,6
19,NO,0.558282208588957,5
20,NYG,0.6011904761904762,3
21,NYJ,0.39814814814814814,3
22,OAK,0.5182926829268293,4
23,PHI,0.5512048192771084,5
24,PIT,0.5416666666666666,3
25,SEA,0.453416149068323,3
26,SF,0.7429378531073446,2
27,TB,0.3018867924528302,5
28,TEN,0.514792899408284,3
29,WSH,0.5581395348837209,5
